76.637,-396.175
72.615,-407.990
68.478,-419.219
64.231,-429.846
59.881,-439.846
55.434,-449.192
50.897,-457.855
46.277,-465.811
41.581,-473.044
36.816,-479.540
31.990,-485.290
27.110,-490.281
22.184,-494.501
17.220,-497.932
12.226,-500.554
7.209,-502.350
2.179,-503.308
-2.857,-503.421
-7.890,-502.690
-12.911,-501.118
-17.912,-498.711
-22.885,-495.478
-27.822,-491.423
-32.714,-486.553
-37.553,-480.873
-42.331,-474.389
-47.041,-467.110
-51.673,-459.053
-56.222,-450.238
-60.678,-440.694
-65.036,-430.454
-69.287,-419.552
-73.427,-408.023
-77.448,-395.903
-81.345,-383.221
-85.112,-370.007
-88.745,-356.285
-92.238,-342.073
-95.586,-327.386
-98.786,-312.238
-101.831,-296.641
-104.718,-280.606
-107.443,-264.143
-110.001,-247.264
-112.388,-229.982
-114.601,-212.315
-116.635,-194.283
-118.487,-175.909
-120.153,-157.216
-121.631,-138.233
-122.918,-118.990
-124.011,-99.520
-124.908,-79.856
-125.608,-60.033
-126.109,-40.086
-126.409,-20.046
-126.510,0.052
-126.408,20.172
-126.106,40.280
-125.603,60.338
-124.899,80.307
-123.997,100.144
-122.896,119.804
-121.601,139.244
-120.112,158.418
-118.432,177.283
-116.566,195.802
-114.516,213.945
-112.287,231.690
-109.882,249.020
-107.307,265.926
-104.564,282.398
-101.659,298.426
-98.595,313.996
-95.379,329.090
-92.014,343.683
-88.505,357.751
-84.859,371.279
-81.079,384.257
-77.173,396.680
-73.146,408.541
-69.003,419.831
-64.749,430.537
-60.392,440.634
-55.937,450.092
-51.390,458.876
-46.759,466.954
-42.051,474.299
-37.273,480.889
-32.433,486.704
-27.539,491.726
-22.599,495.935
-17.620,499.312
-12.612,501.838
-7.584,503.499
-2.542,504.288
2.502,504.205
7.542,503.259
12.567,501.466
17.571,498.845
22.544,495.415
27.479,491.194
32.368,486.193
37.203,480.420
41.977,473.883
46.681,466.589
51.308,458.552
55.852,449.788
60.304,440.319
64.658,430.166
68.907,419.357
73.045,407.918
77.066,395.878
80.963,383.265
84.731,370.105
88.365,356.422
91.860,342.238
95.210,327.574
98.411,312.446
101.459,296.871
104.348,280.860
107.076,264.427
109.637,247.585
112.028,230.350
114.244,212.741
116.282,194.779
118.140,176.487
119.812,157.893
121.297,139.025
122.593,119.910
123.696,100.580
124.604,81.063
125.317,61.389
125.832,41.592
126.149,21.703
126.266,1.755
126.184,-18.218
125.902,-38.182
125.420,-58.098
124.740,-77.925
123.862,-97.619
122.787,-117.138
121.519,-136.439
120.059,-155.482
118.409,-174.232
116.574,-192.659
114.556,-210.738
112.359,-228.451
109.987,-245.784
107.444,-262.725
104.733,-279.263
101.858,-295.384
98.825,-311.069
95.637,-326.290
92.299,-341.017
88.817,-355.222
85.195,-368.880
81.439,-381.977
77.555,-394.500
73.549,-406.441
69.426,-417.790
65.193,-428.532
60.856,-438.647
56.420,-448.109
51.893,-456.891
47.282,-464.972
42.594,-472.335
37.836,-478.969
33.015,-484.866
28.138,-490.014
23.214,-494.399
18.250,-498.003
13.254,-500.806
8.234,-502.787
3.199,-503.929
-1.844,-504.226
-6.886,-503.674
-11.918,-502.280
-16.932,-500.048
-21.919,-496.989
-26.871,-493.109
-31.781,-488.413
-36.640,-482.904
-41.439,-476.587
-46.171,-469.470
-50.828,-461.568
-55.403,-452.899
-59.886,-443.490
-64.272,-433.375
-68.554,-422.587
-72.724,-411.164
-76.777,-399.142
-80.707,-386.551
-84.508,-373.419
-88.175,-359.770
-91.704,-345.621
-95.088,-330.989
-98.323,-315.888
-101.406,-300.331
-104.330,-284.330
-107.092,-267.902
-109.688,-251.063
-112.113,-233.827
-114.365,-216.210
-116.438,-198.233
-118.329,-179.914
-120.036,-161.279
-121.555,-142.353
-122.883,-123.164
-124.018,-103.742
-124.958,-84.119
-125.700,-64.325
-126.244,-44.391
-126.588,-24.350
-126.731,-4.235
-126.673,15.920
-126.413,36.075
-125.951,56.191
-125.289,76.229
-124.427,96.145
-123.366,115.896
-122.109,135.438
-120.657,154.726
-119.014,173.714
-117.183,192.362
-115.167,210.640
-112.970,228.523
-110.597,245.993
-108.051,263.038
-105.336,279.646
-102.458,295.805
-99.420,311.501
-96.228,326.715
-92.886,341.426
